日期,质量等级,AQI指数,当天AQI排名,PM2.5,PM10,So2,No2,Co,O3,年,月,日
2014/1/1,Lightly,149,140,114,161,40,40,1.5,9,2014,1,1
2014/1/2,Moderately,167,131,134,187,40,40,1.35,11,2014,1,2
2014/1/3,Heavily,208,144,158,229,52,52,1.62,15,2014,1,3
2014/1/4,Heavily,205,170,156,226,54,54,1.73,21,2014,1,4
2014/1/5,Heavily,210,148,160,213,46,46,1.64,16,2014,1,5
2014/1/6,Moderately,199,130,151,206,44,44,1.76,6,2014,1,6
2014/1/7,Moderately,161,129,121,161,38,38,1.44,7,2014,1,7
2014/1/8,Lightly,118,148,89,109,36,36,1.24,7,2014,1,8
2014/1/9,Lightly,117,149,88,113,36,36,1.33,6,2014,1,9
2014/1/10,Moderate,97,80,72,95,35,35,1.27,10,2014,1,10
2014/1/11,Lightly,113,88,85,116,39,39,1.49,7,2014,1,11
2014/1/12,Lightly,123,115,93,120,36,36,1.57,6,2014,1,12
2014/1/13,Lightly,107,108,80,112,39,39,1.43,15,2014,1,13
2014/1/14,Lightly,105,79,78,113,42,42,1.47,18,2014,1,14
2014/1/15,Lightly,136,90,104,158,50,50,1.62,9,2014,1,15
2014/1/16,Moderately,196,129,148,193,44,44,1.69,8,2014,1,16
2014/1/17,Moderately,190,114,143,193,51,51,1.73,12,2014,1,17
2014/1/18,Moderately,165,89,125,178,48,48,1.57,25,2014,1,18
2014/1/19,Heavily,202,122,153,208,43,43,1.65,9,2014,1,19
2014/1/20,Moderately,154,118,116,173,45,45,1.49,21,2014,1,20
2014/1/21,Moderately,164,182,124,177,44,44,1.35,31,2014,1,21
2014/1/22,Lightly,143,159,109,175,57,57,1.46,28,2014,1,22
2014/1/24,Moderately,196,149,147,225,68,68,1.71,29,2014,1,24
2014/1/25,Heavily,201,157,151,220,63,63,1.66,34,2014,1,25
2014/1/26,Heavily,220,169,170,234,59,59,1.94,18,2014,1,26
2014/1/27,Moderately,180,156,137,184,47,47,1.75,15,2014,1,27
2014/1/28,Heavily,239,168,189,248,48,48,1.98,10,2014,1,28
2014/1/29,Heavily,233,169,182,239,48,48,1.97,16,2014,1,29
2014/1/30,Moderately,196,114,149,207,37,37,1.78,26,2014,1,30
2014/1/31,Heavily,248,122,197,265,30,30,1.72,16,2014,1,31
2014/2/1,Heavily,220,154,169,227,34,34,1.78,21,2014,2,1
2014/2/2,Moderately,192,112,145,197,32,32,1.83,26,2014,2,2
2014/2/3,Moderately,172,172,130,174,34,34,2.07,15,2014,2,3
2014/2/4,Lightly,141,174,107,144,28,28,1.86,27,2014,2,4
2014/2/5,Moderate,67,129,48,68,23,23,1.85,33,2014,2,5
2014/2/6,Good,45,88,32,42,18,18,1.53,16,2014,2,6
2014/2/7,Good,42,61,29,39,18,18,1.17,10,2014,2,7
2014/2/8,Moderate,53,58,37,48,19,19,1.07,11,2014,2,8
2014/2/9,Good,26,21,18,24,17,17,0.9,19,2014,2,9
2014/2/10,Moderate,63,123,46,59,20,20,1.19,39,2014,2,10
2014/2/11,Moderate,87,105,64,82,25,25,1.16,31,2014,2,11
2014/2/12,Moderate,87,78,64,84,23,23,0.97,42,2014,2,12
2014/2/13,Moderate,97,101,72,100,30,30,0.97,42,2014,2,13
2014/2/14,Lightly,117,99,88,120,37,37,1.1,37,2014,2,14
2014/2/15,Lightly,123,88,92,129,38,38,1.08,25,2014,2,15
2014/2/16,Lightly,138,136,105,147,40,40,1.13,21,2014,2,16
2014/2/17,Moderately,160,162,121,164,36,36,1.17,13,2014,2,17
2014/2/18,Moderate,65,93,47,65,26,26,1.05,16,2014,2,18
2014/2/19,Moderate,79,80,58,83,33,33,1.2,27,2014,2,19
2014/2/20,Moderate,82,69,60,82,34,34,1.12,29,2014,2,20
2014/2/21,Moderately,156,116,118,174,59,59,1.46,28,2014,2,21
2014/2/22,Moderately,188,154,142,196,51,51,1.51,17,2014,2,22
2014/2/23,Heavily,221,158,171,240,51,51,1.73,8,2014,2,23
2014/2/24,Moderately,188,140,144,201,50,50,1.82,5,2014,2,24
2014/2/25,Lightly,140,101,106,150,41,41,1.58,8,2014,2,25
