,日期,最高温度,最低温度,东北风,东南风,东风,北风,南风,无持续风向,西北风,西南风,西风,1级,2级,大于3级,小于3级,晴,多云,阴,雷阵雨,霾,雾,阵雨,小雨,中雨,大雨,雷雨,暴雨,雨夹雪,雨,暴风雨,AQI指数,PM2.5,PM10,So2,No2,Co,O3
0,2014-01-01,10,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,149,114,161,40,40,1.5,9
1,2014-01-02,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,167,134,187,40,40,1.35,11
2,2014-01-03,9,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,208,158,229,52,52,1.62,15
3,2014-01-04,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205,156,226,54,54,1.73,21
4,2014-01-05,10,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,210,160,213,46,46,1.64,16
5,2014-01-06,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,199,151,206,44,44,1.76,6
6,2014-01-07,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,161,121,161,38,38,1.44,7
7,2014-01-08,9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,118,89,109,36,36,1.24,7
8,2014-01-09,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,117,88,113,36,36,1.33,6
9,2014-01-10,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,97,72,95,35,35,1.27,10
10,2014-01-11,9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,113,85,116,39,39,1.49,7
11,2014-01-12,8,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,123,93,120,36,36,1.57,6
12,2014-01-13,9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,107,80,112,39,39,1.43,15
13,2014-01-14,12,5,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,105,78,113,42,42,1.47,18
14,2014-01-15,10,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,136,104,158,50,50,1.62,9
15,2014-01-16,9,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,196,148,193,44,44,1.69,8
16,2014-01-17,11,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,190,143,193,51,51,1.73,12
17,2014-01-18,13,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,165,125,178,48,48,1.57,25
18,2014-01-19,9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,202,153,208,43,43,1.65,9
19,2014-01-20,13,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,154,116,173,45,45,1.49,21
