日期,星期,最高温度,最低温度,天气,风向风力
2014-01-01,星期三,10℃,4℃,多云,微风 小于3级
2014-01-02,星期四,8℃,6℃,阴转小雨,微风 小于3级
2014-01-03,星期五,9℃,5℃,阴,微风 小于3级
2014-01-04,星期六,13℃,5℃,晴,微风 小于3级
2014-01-05,星期日,10℃,6℃,多云转小雨,微风 小于3级
2014-01-06,星期一,8℃,6℃,小雨,微风 小于3级
2014-01-07,星期二,8℃,6℃,小雨,微风 小于3级
2014-01-08,星期三,9℃,6℃,小雨,微风 小于3级
2014-01-09,星期四,8℃,6℃,阴,微风 小于3级
2014-01-10,星期五,8℃,6℃,阴转小雨,微风 小于3级
2014-01-11,星期六,9℃,6℃,小雨,微风 小于3级
2014-01-12,星期日,8℃,6℃,小雨,微风 小于3级
2014-01-13,星期一,9℃,6℃,小雨转阴,微风 小于3级
2014-01-14,星期二,12℃,5℃,雾转晴,微风 小于3级
2014-01-15,星期三,10℃,6℃,多云转阴,微风 小于3级
2014-01-16,星期四,9℃,7℃,阴,微风 小于3级
2014-01-17,星期五,11℃,6℃,阴转多云,微风 小于3级
2014-01-18,星期六,13℃,5℃,多云,微风 小于3级
2014-01-19,星期日,9℃,6℃,多云转小雨,微风 小于3级
2014-01-20,星期一,13℃,6℃,阴转多云,微风 小于3级
2014-01-21,星期二,13℃,4℃,多云转晴,微风 小于3级
2014-01-22,星期三,16℃,4℃,晴,微风 小于3级
2014-01-23,星期四,15℃,5℃,晴,微风 小于3级
2014-01-24,星期五,15℃,7℃,多云,微风 小于3级
2014-01-25,星期六,14℃,8℃,多云转阴,微风 小于3级
2014-01-26,星期日,14℃,10℃,小雨,微风 小于3级
2014-01-27,星期一,15℃,9℃,小雨转多云,微风 小于3级
2014-01-28,星期二,10℃,8℃,阴转小雨,微风 小于3级
2014-01-29,星期三,17℃,8℃,阴转多云,微风 小于3级
2014-01-30,星期四,17℃,5℃,晴,微风 小于3级
2014-01-31,星期五,15℃,9℃,多云转阴,微风 小于3级
日期,星期,最高温度,最低温度,天气,风向风力
2014-02-01,星期六,15℃,9℃,雾转多云,微风 小于3级
2014-02-02,星期六,16℃,10℃,雾转多云,微风 小于3级
2014-02-03,星期一,16℃,10℃,雾转多云,微风 小于3级
2014-02-04,星期二,15℃,8℃,多云,微风 小于3级
2014-02-05,星期三,14℃,11℃,阴,微风 小于3级
2014-02-06,星期四,12℃,10℃,小雨,微风 小于3级
2014-02-07,星期五,10℃,8℃,小雨转阴,微风 小于3级
2014-02-08,星期六,7℃,4℃,阴转小雨,微风 小于3级
2014-02-09,星期日,6℃,4℃,小雨,微风 小于3级
2014-02-10,星期一,7℃,4℃,小雨,微风 小于3级
2014-02-11,星期二,7℃,3℃,阴,微风 小于3级
2014-02-12,星期三,6℃,4℃,阴转小雨,微风 小于3级
2014-02-13,星期四,9℃,4℃,阴,微风 小于3级
2014-02-14,星期五,10℃,4℃,多云转阴,微风 小于3级
2014-02-15,星期六,10℃,5℃,阴,微风 小于3级
2014-02-16,星期日,9℃,6℃,阴,微风 小于3级
2014-02-17,星期一,9℃,6℃,阴转小雨,微风 小于3级
2014-02-18,星期二,9℃,5℃,阴转小雨,微风 小于3级
2014-02-19,星期三,13℃,4℃,雾转晴,微风 小于3级
2014-02-20,星期四,15℃,5℃,晴转多云,微风 小于3级
2014-02-21,星期五,14℃,7℃,多云转阴,微风 小于3级
2014-02-22,星期六,13℃,9℃,阴,微风 小于3级
2014-02-23,星期日,13℃,10℃,阴,微风 小于3级
2014-02-24,星期一,13℃,10℃,小雨,微风 小于3级
2014-02-25,星期二,14℃,9℃,阴转多云,微风 小于3级
2014-02-26,星期三,14℃,8℃,多云转阴,微风 小于3级
2014-02-27,星期四,13℃,11℃,小雨,微风 小于3级
2014-02-28,星期五,12℃,11℃,小雨,微风 小于3级
日期,星期,最高温度,最低温度,天气,风向风力
2014-03-01,星期六,13℃,11℃,小雨,微风 小于3级
2014-03-02,星期日,13℃,10℃,小雨,微风 小于3级
2014-03-03,星期一,13℃,9℃,小雨,微风 小于3级
2014-03-04,星期二,16℃,9℃,阴转多云,微风 小于3级
