日期,星期,最高温度,最低温度,WindDirection,WindSpeed,天气,风向风力,年,月,日,东北风,东南风,东风,北风,南风,无持续风向,西北风,西南风,西风,1级,2级,大于3级,小于3级,晴,多云,阴,雷阵雨,霾,雾,阵雨,小雨,中雨,大雨,雷雨,暴雨,雨夹雪,雨,暴风雨
2014-01-01,3.0,10,4,无持续风向,小于3级,多云,微风 小于3级,2014,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-02,4.0,8,6,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,1,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-03,5.0,9,5,无持续风向,小于3级,阴,微风 小于3级,2014,1,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-04,6.0,13,5,无持续风向,小于3级,晴,微风 小于3级,2014,1,4,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-05,7.0,10,6,无持续风向,小于3级,多云~小雨,微风 小于3级,2014,1,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-06,1.0,8,6,无持续风向,小于3级,小雨,微风 小于3级,2014,1,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-07,2.0,8,6,无持续风向,小于3级,小雨,微风 小于3级,2014,1,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-08,3.0,9,6,无持续风向,小于3级,小雨,微风 小于3级,2014,1,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-09,4.0,8,6,无持续风向,小于3级,阴,微风 小于3级,2014,1,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-10,5.0,8,6,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,1,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-11,6.0,9,6,无持续风向,小于3级,小雨,微风 小于3级,2014,1,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-12,7.0,8,6,无持续风向,小于3级,小雨,微风 小于3级,2014,1,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-13,1.0,9,6,无持续风向,小于3级,小雨~阴,微风 小于3级,2014,1,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-14,2.0,12,5,无持续风向,小于3级,雾~晴,微风 小于3级,2014,1,14,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-01-15,3.0,10,6,无持续风向,小于3级,多云~阴,微风 小于3级,2014,1,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-16,4.0,9,7,无持续风向,小于3级,阴,微风 小于3级,2014,1,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-17,5.0,11,6,无持续风向,小于3级,阴~多云,微风 小于3级,2014,1,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-18,6.0,13,5,无持续风向,小于3级,多云,微风 小于3级,2014,1,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-19,7.0,9,6,无持续风向,小于3级,多云~小雨,微风 小于3级,2014,1,19,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-20,1.0,13,6,无持续风向,小于3级,阴~多云,微风 小于3级,2014,1,20,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-21,2.0,13,4,无持续风向,小于3级,多云~晴,微风 小于3级,2014,1,21,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-22,3.0,16,4,无持续风向,小于3级,晴,微风 小于3级,2014,1,22,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-23,4.0,15,5,无持续风向,小于3级,晴,微风 小于3级,2014,1,23,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-24,5.0,15,7,无持续风向,小于3级,多云,微风 小于3级,2014,1,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-25,6.0,14,8,无持续风向,小于3级,多云~阴,微风 小于3级,2014,1,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-26,7.0,14,10,无持续风向,小于3级,小雨,微风 小于3级,2014,1,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-27,1.0,15,9,无持续风向,小于3级,小雨~多云,微风 小于3级,2014,1,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-28,2.0,10,8,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,1,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-01-29,3.0,17,8,无持续风向,小于3级,阴~多云,微风 小于3级,2014,1,29,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-30,4.0,17,5,无持续风向,小于3级,晴,微风 小于3级,2014,1,30,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-01-31,5.0,15,9,无持续风向,小于3级,多云~阴,微风 小于3级,2014,1,31,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-01,6.0,15,9,无持续风向,小于3级,雾~多云,微风 小于3级,2014,2,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-02,6.0,16,10,无持续风向,小于3级,雾~多云,微风 小于3级,2014,2,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-03,1.0,16,10,无持续风向,小于3级,雾~多云,微风 小于3级,2014,2,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-04,2.0,15,8,无持续风向,小于3级,多云,微风 小于3级,2014,2,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-05,3.0,14,11,无持续风向,小于3级,阴,微风 小于3级,2014,2,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-06,4.0,12,10,无持续风向,小于3级,小雨,微风 小于3级,2014,2,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-07,5.0,10,8,无持续风向,小于3级,小雨~阴,微风 小于3级,2014,2,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-08,6.0,7,4,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,2,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-09,7.0,6,4,无持续风向,小于3级,小雨,微风 小于3级,2014,2,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-10,1.0,7,4,无持续风向,小于3级,小雨,微风 小于3级,2014,2,10,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-11,2.0,7,3,无持续风向,小于3级,阴,微风 小于3级,2014,2,11,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-12,3.0,6,4,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,2,12,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-13,4.0,9,4,无持续风向,小于3级,阴,微风 小于3级,2014,2,13,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-14,5.0,10,4,无持续风向,小于3级,多云~阴,微风 小于3级,2014,2,14,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-15,6.0,10,5,无持续风向,小于3级,阴,微风 小于3级,2014,2,15,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-16,7.0,9,6,无持续风向,小于3级,阴,微风 小于3级,2014,2,16,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-17,1.0,9,6,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,2,17,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-18,2.0,9,5,无持续风向,小于3级,阴~小雨,微风 小于3级,2014,2,18,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-19,3.0,13,4,无持续风向,小于3级,雾~晴,微风 小于3级,2014,2,19,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2014-02-20,4.0,15,5,无持续风向,小于3级,晴~多云,微风 小于3级,2014,2,20,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-21,5.0,14,7,无持续风向,小于3级,多云~阴,微风 小于3级,2014,2,21,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-22,6.0,13,9,无持续风向,小于3级,阴,微风 小于3级,2014,2,22,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-23,7.0,13,10,无持续风向,小于3级,阴,微风 小于3级,2014,2,23,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-24,1.0,13,10,无持续风向,小于3级,小雨,微风 小于3级,2014,2,24,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-25,2.0,14,9,无持续风向,小于3级,阴~多云,微风 小于3级,2014,2,25,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-26,3.0,14,8,无持续风向,小于3级,多云~阴,微风 小于3级,2014,2,26,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-02-27,4.0,13,11,无持续风向,小于3级,小雨,微风 小于3级,2014,2,27,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-02-28,5.0,12,11,无持续风向,小于3级,小雨,微风 小于3级,2014,2,28,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-01,6.0,13,11,无持续风向,小于3级,小雨,微风 小于3级,2014,3,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-02,7.0,13,10,无持续风向,小于3级,小雨,微风 小于3级,2014,3,2,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-03,1.0,13,9,无持续风向,小于3级,小雨,微风 小于3级,2014,3,3,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-04,2.0,16,9,无持续风向,小于3级,阴~多云,微风 小于3级,2014,3,4,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-05,3.0,14,9,无持续风向,小于3级,多云~阴,微风 小于3级,2014,3,5,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-06,4.0,13,10,无持续风向,小于3级,小雨,微风 小于3级,2014,3,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
2014-03-07,5.0,14,11,无持续风向,小于3级,阴,微风 小于3级,2014,3,7,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-08,6.0,17,10,无持续风向,小于3级,阴~多云,微风 小于3级,2014,3,8,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-09,7.0,17,10,无持续风向,小于3级,多云~阴,微风 小于3级,2014,3,9,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-10,1.0,20,10,无持续风向,小于3级,多云~晴,微风 小于3级,2014,3,10,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
2014-03-11,2.0,20,11,无持续风向,小于3级,晴~多云,微风 小于3级,2014,3,11,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
